Name,Description,Action,Uses,Chief Ingredient,Ingredients,Preparation,Dose
Sugar,"There are four concepts for its name.
						(1) In Greek Tukhm Kasoos (Cuscuta reflexa seed) is called Deenar and Tukhm
						Kasoos (Cuscuta reflexa seed) is chief ingredient of this formulation.
						(2) Deenar are kept in a bag of cloth and Tukhm Kasoos (Cuscuta reflexa
						seed) are included in this formulation Ba-Surra Basta (keeping them in bag
						of cloth).
						(3) The colour of this Sherbat is like the colour of Deenar.
						(4) Inventor of this preparation sold one Tola (12gm) of Sherbat for one
						Deenar.
						(5) It is also said that Tila (Gold) is mixed in this preparation in form of
						solution so this name was introduce",,,Tukhme Kasoos (Cuscuta reflexa seed),"Post Beikh Kasni (Cichorium intybus root bark), 100 gm; Tukhme Kasni (Cichorium intybus seed), 50 gm; Gule Surkh (Rosa damascena flower), 50 gm; Gule Neelofer (Nymphaea alba flower), 25 gm; Gule Gaozaban (Borage officinalis flower), 25 gm; Tukhme Kasoos (Cuscuta reflexa seed Ba-Surra Bastain bag of cloth), 80 gm; Revand Chini (Rheum palmatum root), 40 gm; Sugar (), 1 kg","Soak the drugs except Revand (Rheum palmatum root) in water for 24 hour.
						Make decoction of all drugs in water and obtain filtrate, then mix sugar in
						filtrate and make Qiwam (Basic Solution of Particular consistency)","25-50
						ml"
Tursha Sammulfar,Its name is due to its chief ingredient Burada Faulad (Iron Powder),,,Burada Faulad (Iron Powder),"Badiyan (Foeniculum vulgare Mill seed), 5 gm; Nankhuah (Carum capticum seed), 5 gm; Berg Podina (Mentha arvensis leaf), 5 gm; Tukhme Shibbat (Anthium sowa seed), 5 gm; Hilteet (Ferula foetida gum), 5 gm; Kashneez (Coriandrum sativum fruit), 5 gm; Filfil Daraz (Piper longum fruit), 5 gm; Filfil Siyah (Piper nigrum fruit), 5 gm; Saad (Cyperus scariosus rhizome), 5 gm; Sazij Hindi (Cinnamomum obtusifolium leaf), 5 gm; Tukhme Khurfa Siyah (Portulaca oleracea seed), 5 gm; Taj Qalmi (Cinnamomum cassia bark), 5 gm; Sumbuluttib (Nardostachis jatamansi root), 5 gm; Zanjabil (Zingiber officinalis rhizome), 5 gm; Tukhme Hilyun (Lepidium sativum seed), 5 gm; Burada Faulad (Iron Powder), 25 gm; Tezab Shora (Nitric Acid), 125 ml; Sirka Jamun (Syzygium cumini fruit acetic acid), 240 ml; Sate Leemun (Citrus lemonum fruit extract),  ; Sugar (), 2.75 kg; Tezab Namak (Hydrochloric acid), 12 ml; Tursha Kibreet (Sulphuric acid), 12 ml; Tursha Sammulfar (Arsenic Acid), 2.5 ml","Make decoction of all herbal drugs.Add Burada Faulad (Iron Powder) by
						desolating in Tezab Shora (Nitric Acid) with Sirka Jamun (Syzygium cumini
						fruit vinegar), Sate Leemun (Citrus lemonum fruit extract). Make Qiwam
						(Basic Solution of Particular consistency) of sugar. After preparation of
						Qiwam (Basic Solution of Particular consistency), add Tezab Namak
						(Hydrochloride), Tursha Kibreet (Sulphuric acid), Tursha Sammulfar (Arsenic
						Acid)","5-10
						ml"
Qand Safed,Its name is due to its ingredients Favakihat (fruits),,,,"Aab Anar Sheereen (Punica granatum Linn sweet fruit juice), 1 litre; Aab Anar Tursh (Punica granatum Linn sour fruit juice), 1 litre; Aab Behi Sheereen (Cydonia quincy sweat fruit juice), 1 litre; Aab Behi Tursh (Cydonia quincy sour fruit juice), 1 litre; Aab Seb Tursh (Pyrus malus sour fruit juice), 1 litre; Aab Seb sheereen (Pyrus malus sweet fruit juice), 1 litre; Aab Amrood (Psidium guyava fruit juice), 1 litre; Aab Zarishk (Berberis aristata fruit juice), ½ litre; Qand Safed (Sugar), 3 kg","Boil all the juices and mix sugar. Make Qiwam (Basic Solution of Particular
						consistency).","25-50
						ml"
Sugar,"Its name is due to its ingredient Gulab (Rosa damascena flower),which is
						distilled twice.",,,Gule Surkh (Rosa damascena flower,"Gule Surkh Taza (Rosa damascena fresh flower), 2 kg; Water (), 5 litre; Sugar (), 2 kg","Boil 1 kg flowers in water till water is left one litre Then add 1kg flowers
						in water and boil till water is 1/3 litre. Filter it and mix sugar in
						filtrate and make Qiwam (Basic Solution of Particular consistency)","25-50
						ml"
Luab Aspghol,Due to its white colour it is called Shyaf Abyaz,,,Safeda (Plumbi carbonas),"Safeda (Plumbi carbonas), 10 gm; Kateera (Astragallus gummifera gum), 10 gm; Nishasta (Starch), 3 gm; Luab Aspghol (Plantago ovata Forsk mucilage),  ","Make powder of Safeda (Plumbi carbonas), Kateera (Astragallus gummifera gum)
						and Nishasta (Starch), Mix with either with Luab Aspghol (Plantago ovata
						Forsk mucilage) or Eggwhiteyolk and make Shyaf.",Desolve in Arq Gulab or water and apply in eye with eye stick
Mur,Due to its red colour it is called ShyafAhmer.,,,,"Shadnaj (A certain type of soft stone), 17 ½ gm; Gond Babool (Acacia arabica gum), 15 gm; Zangar (Cupric sulphate), 7 ½ gm; Mis Sokhta (Copper sulphate roasted), 6 gm; Shibbe Yamani sokhta (Alum roasted), 6 gm; Afiun (Papaver somniferum Linn latex), 1 ½ gm; Elva (Aloe vera dried juice of leaf), 1 ½ gm; Zafran (Crocus sativa gynacium), ¾ gm; Mur (Commiphora myrrh gum), ¾ gm",Make powder of all ingredients and make paste by adding water. Make Shyaf.,Use in eye by desolating in Arq Gulab.
Surma,Due to its black colour it is called Shyaf Asvad.,,,,"Safeda (Plumbi carbonas), 10 gm; Kateera (Astragallus gummifera gum), 6 gm; Nishasta (Starch), 6 gm; Surma (Antimony), 6 gm",Make powder of all ingredients and make paste with water. Make Shyaf.,Use in eye by desolating in Arq Gulab
Sugar,Its name is due to its ingredient Bazer (Seed),,,Tukhme Kasni (Cichorium intybus seed),"Tukhme Kasni (ichorium intybus seed), 25 gm; Tukhme Karafs (Apium graveolence seed), 25 gm; Badiyan (Foeniculum vulgare Mill seed), 25 gm; Sirka (Acetic acid), 60 ml; Water (), 1 ½ litre; Sugar (), 1 ½ kg","Crush all seed and soak in water and Sirka (Acetic acid) at night. Mesh well
						in morning and filter it. Add sugar in filtrate and make Qiwam (Basic
						Solution of Particular consistency).","25
						mlwith Arq Gaozaban and Arq Badiyan 30
						ml each"
Sugar,Its name is due to its ingredient Nana Mentha arvensis herb),,,Podina Khushk (Mentha arvensis dry herb),"Podina Khushk (Mentha arvensis dry herb), 25 gm; Aab Leemun (Citrus lemonum fruit juice), 100 ml; Sugar (), ½ kg","Boil the Podina (Mentha arvensis herb) in Water, rub well then filter it. in
						filtrate add sugar and make Qiwam (Basic Solution of Particular consistency)
						of Sherbat.","10-25
						ml"
Sugar,Its name is due to its ingredient Unsul (Urginea indica bulb),,,Unsul (Urginea indica bulb),"Unsul (Urginea indica bulb), 250 gm; Sirka (Vinegar), 2½ litre; Sugar (), 2½ kg","Chop the Unsul (Urginea indica bulb) in small pieces. Boil it in Sirka
						(Acetic acid) and rub well and filter. Add sugar in filtrate and prepare
						Qiwam (Basic Solution of Particular consistency) of Sherbat.","25
						ml"
Asl,"It consists of four ingredients so it is called Tiyaq Arbaa, as Raba is four
						in Arabic.",Dafe Samoom (Antidote),"Serd Zeher (Cold Poisons), Serd Amraz (Cold Diseases)",Habbul Ghar (Laurus nobilis fruit),"Habbul Ghar (Laurus nobilisfruit),  ; Juntiana (Gentiana lutea root),  ; Mur (Commiphora myrrh gum),  ; Zaravand Taveel (Aristolochia longa root),  ; Asl (Honey),  ","Make powder of all drugs and fry with Ghee. Make Qiwam (Basic Solution of
						Particular consistency) of Asl (Honey). Mix the drugs in Qiwam (Basic
						Solution of Particular consistency).","1-5
						gm with hot water"
Asl,,,,,"Ajmod (Apium graveolence seed), 15 gm; Aqaqia (Acacia arabica extract), 2 gm; Aqirqarha (Anacylus pyrethrum root), 10 gm; Asaroon (Valerina wallichil DC root), 5 gm; Badiyan (Foeniculum vulgare Mill seed), 10 gm; Behroza (Pinus longifolia latex), 5 gm; Bhangra (Anisomeles indica herb), 12 gm; Dar Chini (Cinnamomum zeylanicum bark), 10 gm; Ersa (Iris ensata root), 30 gm; Farasiun (Bamboosa leaves), 15 gm; Filfil Daraz (Piper longum fruit), 15 gm; Filfil safed (Piper nigrum fruit without seed coat), 15 gm; Fitrasaliun (Petroselinum sativum), 15 gm; Ghareequn (Polyporus officinalis), 18 gm; Gile Makhtoom (Makhtoom clay), 10 gm; Gule dhava (Woodfordia floribunda flower), 10 gm; Habbe Balsan (Balsamodendron opobalsamum fruit), 2 gm; Habbul Ghar (Laurus nobilis fruit), 10 gm; Izkher (Cymbopogon jwarancusa), 15 gm; Jaosheer (Ferula galbaniflua secretion), 5 gm; Juntiana (Gentiana lutea root), 10 gm; Junudbedster (Caster beaver), 5 gm; Kalonji (Nigella sativa seed), 18 gm; Kamazarius, Heeng (Ferula foetida latex), 15 gm; Kundur (Boswalia serrata gum), 15 gm; Loban (Styrex benzoin), 15 gm; Mastagi (Pistacia lantiscus gum), 15 gm; Muqil (Commiphora mukul gum), 5 gm; Mur (Commiphora myrrh gum), 18 gm; Mushktramsheey (Leucas stelligera herb), 15 gm; Nankhuah (Carum capticum seed), 15 gm; Ood Saleeb (Paonea officinalis root), 15 gm; Qaravana, Arusa (Adhatoda vasica Nees leaves), 10 gm; Quturiun (), 15 gm; Reesh Barged (Ficus benghalenisis root), 15 gm; Revand (Rheum palmatum root), 14 gm; Rubbussoos (Glycyrrhiza glabra extract), 30 gm; Sakbeenaj (Ferula persica Willd root), 5 gm; Samagh Arabi (Acacia arabica gum), 10 gm; Sazij Hindi (Cinnamomum obtusifolium leaf), 14 gm; Sumbuluttib (Nardostachis jatamansi root), 6 gm; Taj (Cinnamomum cassia bark), 19 gm; Tukhme Jarjir (Brusa sativa seed), 15 gm; Tukhme Shalgham (Bressica rapa seed), 30 gm; Tukhme Soya (Anthium sowa seed), 30 gm; Ustokhuddus (Lavandula stoechas flower), 15 gm; Zanjabil (Zingiber officinalis rhizome), 14 gm; Zaravand Mudharij (Aristolochia rotunda root), 5 gm; Qurs Isqeel (),  ; Qurs Afai (),  ; Sharab Santra (), 30 ml; Lehsun (Allium sativa bulb), 18 gm; Roghan Balsan (Balsamodendron opobalsamum oil), 18 gm; Zafran (Crocus sativa gynacium), 10 gm; Ghee (), 4 gm; Asl (Honey), 3 times of all drugs ","Make powder of all drugs, sieve them with No. 60 sieve. Ground Lehsun
						(Allium sativa bulb) with Sharab Santra and sieve in cloth.Add powder of
						drugs and dry it. Make powder of QursAfai and Qurs Isqeel and mix both,
						sieve in No. 60 Sieve. Prepare Qiwam (Basic Solution of Particular
						consistency) ofAsl(Honey) and mix Roghan Balsan (Balsamodendron opobalsamum
						oil). Take off from heat. Make solution of Zafran (Crocus sativa gynacium)
						in Arq Gaozaban and mix in Qiwam (Basic Solution of Particular consistency).
						Now mix powder of all drugs. Melt Mastagi (Pistacia lantiscus gum) with Ghee
						and add in Qiwam (Basic Solution of Particular consistency)","1 gm with 5
						gm Davaulmisk and 5 gm Khameera Gaozaban Ambari"
Asl,,,,Habbul Ghar (Laurus nobilis fruit),"Mur (Commiphora myrrh gum), 23 gm; Habbul Ghar (Laurus nobilis fruit), 23 gm; Juntiana (Gentiana lutea root), 23 gm; Qust Talkh (Costus arabicus root), 23 gm; Filfil Siyah (Piper nigrum fruit), 15 gm; Taj (Cinnamomum cassia bark), 15 gm; Zafran (Crocus sativa gynacium), 9 gm; Dar Chini (Cinnamomum zeylanicum bark), 9 gm; Asl (Honey),  ","Make powder of all drugs and mix in Qiwam (Basic Solution of Particular
						consistency) of Asl (Honey) and prepare Majun.","5
						gm with Arq Badiyan or fresh water"
